,Acc,Dice,Fdr,Fnr,Fpr,Jac,Mcc,Npv,Ppv,Sen,Spe,hausdorff,precision
0,0.9864501953125,0.9683117439246334,0.05794334120261075,0.003927758608031716,0.016074352306655108,0.9385700944277264,0.9603063022063754,0.9989537294168264,0.9420566587973892,0.9960722413919683,0.9839256476933449,1,0.9420566587973892
1,0.9778022766113281,0.969997267322853,0.05099878934624697,0.008056607156038764,0.03021247347816992,0.941742421208602,0.9529830667425021,0.9953135734615762,0.949001210653753,0.9919433928439613,0.9697875265218301,1,0.949001210653753
2,0.9714508056640625,0.9631264657771822,0.03499071916590972,0.03874901652242329,0.022085950742845747,0.928875541701513,0.9398402399397063,0.9755066517468606,0.9650092808340903,0.9612509834775768,0.9779140492571543,1,0.9650092808340903
3,0.9966087341308594,0.9741020188190055,0.01952850105559465,0.032185238784370476,0.0013599108094532178,0.9495115856428896,0.9723111633212511,0.9977314641032755,0.9804714989444053,0.9678147612156295,0.9986400891905468,1,0.9804714989444053
4,0.9843101501464844,0.9630189086397108,0.0692262235817575,0.002421623232680737,0.019106691419498133,0.9286754760170638,0.9539990055921385,0.9993646387238035,0.9307737764182424,0.9975783767673193,0.9808933085805018,1,0.9307737764182424
5,0.9825363159179688,0.9542273236282195,0.08232692307692308,0.006185438187270909,0.019992714637973547,0.9124615178690938,0.944602441403978,0.9985866834170855,0.9176730769230769,0.9938145618127291,0.9800072853620264,1,0.9176730769230769
6,0.9953346252441406,0.9739837052479312,0.01594738651994498,0.03588123815540114,0.0015562145814370027,0.9492867805606237,0.9714829241993892,0.9964333556597454,0.984052613480055,0.9641187618445989,0.998443785418563,1,0.984052613480055
7,0.9883346557617188,0.9782797073655799,0.011908861340679523,0.031338790896559485,0.004344412457471866,0.957482898615205,0.9703962274416887,0.9884228466910542,0.9880911386593205,0.9686612091034406,0.9956555875425281,1,0.9880911386593205
8,0.9884452819824219,0.9783641311723655,0.02515230883106531,0.018093968199349077,0.009184134887758126,0.9576446569902397,0.9704939345258154,0.993423383986826,0.9748476911689347,0.981906031800651,0.9908158651122418,1,0.9748476911689347
9,0.9879646301269531,0.9821111659210623,0.021754845705507612,0.013992144361587067,0.011049343407397208,0.9648511045999933,0.9730604838645016,0.9929209962444993,0.9782451542944924,0.986007855638413,0.9889506565926028,1,0.9782451542944924
10,0.9822959899902344,0.9736918184446371,0.03691576208845429,0.015464331159079706,0.01882100039448634,0.9487323943661972,0.9604857317003198,0.9922008695249989,0.9630842379115457,0.9845356688409203,0.9811789996055137,1,0.9630842379115457
11,0.99285888671875,0.9794376098418278,0.016587259572966296,0.024505513740591633,0.003474403991868416,0.959703805751679,0.9751285105981489,0.994834138961662,0.9834127404270337,0.9754944862594084,0.9965255960081316,1,0.9834127404270337
12,0.9965248107910156,0.9789903369387237,0.008548206278026906,0.03316175465767777,0.0007618936596292117,0.958845319840983,0.9771881391677673,0.9969759404492888,0.9914517937219731,0.9668382453423222,0.9992381063403708,0,0.9914517937219731
13,0.9955215454101562,0.9777508243944965,0.012706674831598286,0.03160897965312711,0.0014097305376508454,0.9564701520207638,0.9753175966347798,0.9964324452579486,0.9872933251684017,0.9683910203468729,0.9985902694623492,0,0.9872933251684017
14,0.9951744079589844,0.9803982335166964,0.009673178061607814,0.029333251511153385,0.0013460943660069788,0.9615501519756839,0.9777109700223938,0.9958470894874023,0.9903268219383922,0.9706667484888466,0.998653905633993,1,0.9903268219383922
15,0.9951705932617188,0.9829582166702563,0.012148268398268398,0.021887055293613372,0.0019971888121841862,0.9664875453318157,0.9801612883028761,0.9963718559045047,0.9878517316017316,0.9781129447063867,0.9980028111878159,1,0.9878517316017316
16,0.9863662719726562,0.9559146416676946,0.0837116912599319,0.0008766953741426434,0.015848711956375747,0.9155521950758471,0.9491106117808673,0.9998453533221745,0.9162883087400681,0.9991233046258574,0.9841512880436243,1,0.9162883087400681
17,0.9847640991210938,0.9535430140045597,0.0030888218698316957,0.0862092027822365,0.0005844777438238652,0.911210901896272,0.9457317630001623,0.982504479070525,0.9969111781301683,0.9137907972177635,0.9994155222561761,1,0.9969111781301683
18,0.9781494140625,0.9366091190792386,0.07005977496483826,0.05662564651328696,0.014671772026066787,0.8807759553742402,0.9234442569309388,0.9882754800590842,0.9299402250351617,0.9433743534867131,0.9853282279739333,1,0.9299402250351617
19,0.9827804565429688,0.9506180943004048,0.002754315093646713,0.09184398645541575,0.0005599574432343142,0.9058838246945499,0.9417276599195713,0.9798971524778567,0.9972456849063532,0.9081560135445843,0.9994400425567657,1,0.9972456849063532
20,0.9915084838867188,0.9765891211980985,0.01824832952719276,0.028519417475728157,0.004026087930133612,0.954249306340561,0.9714229922219352,0.9936560981512855,0.9817516704728072,0.9714805825242718,0.9959739120698664,1,0.9817516704728072
21,0.9907035827636719,0.9737626906968982,0.0196193201526188,0.03276654903218907,0.004201700179674914,0.9488669744020143,0.968146598717205,0.9929079327457225,0.9803806798473812,0.9672334509678109,0.9957982998203251,1,0.9803806798473812
22,0.9868659973144531,0.9609189661630666,0.07321772639691715,0.00233341975628727,0.015219577911586268,0.9247776976688296,0.9539733539906499,0.9995426660260911,0.9267822736030829,0.9976665802437127,0.9847804220884138,1,0.9267822736030829
23,0.9923934936523438,0.9767718186477797,0.02409217877094972,0.02236265273761776,0.004720423241813372,0.954598237664792,0.972224466519044,0.9956246806336229,0.9759078212290503,0.9776373472623823,0.9952795767581867,1,0.9759078212290503
