,Acc,Dice,Fdr,Fnr,Fpr,Jac,Mcc,Npv,Ppv,Sen,Spe,precision
0,0.9988670349121094,0.963265306122449,0.043713163064833006,0.02965362571642163,0.0006895723489236086,0.9291338582677166,0.9627164255420437,0.9995388883722373,0.956286836935167,0.9703463742835784,0.9993104276510764,0.956286836935167
1,0.9989051818847656,0.9670228656785017,0.007547169811320755,0.05713645529912615,0.0001241845537699714,0.9361512791991101,0.9667948189749545,0.9990112600037223,0.9924528301886792,0.9428635447008739,0.99987581544623,0.9924528301886792
2,0.9989891052246094,0.9717031500266952,0.0121580547112462,0.04391678924143728,0.00021757289663344796,0.944963655244029,0.9713230445148354,0.9991884692744372,0.9878419452887538,0.9560832107585627,0.9997824271033665,0.9878419452887538
3,0.9989089965820312,0.970485036119711,0.010105263157894737,0.04817813765182186,0.00018662229203278332,0.9426623897353649,0.9701230765433294,0.9990753475216982,0.9898947368421053,0.9518218623481781,0.9998133777079672,0.9898947368421053
4,0.9988975524902344,0.9695949500263019,0.044974093264248706,0.015384615384615385,0.000842836280023615,0.9409842760874004,0.9691506602384363,0.999720191668707,0.9550259067357513,0.9846153846153847,0.9991571637199764,0.9550259067357513
5,0.9984207153320312,0.9581987075928917,0.012692467748647523,0.06924284032954099,0.00023731160959516973,0.9197518899011436,0.9578271381611253,0.9986282632180246,0.9873075322513525,0.930757159670459,0.9997626883904048,0.9873075322513525
6,0.99896240234375,0.9725640508371999,0.02939400040265754,0.025469981807155852,0.0005676582541787034,0.9465933634400157,0.9720373098501649,0.9995100650524736,0.9706059995973425,0.9745300181928441,0.9994323417458213,0.9706059995973425
7,0.9984703063964844,0.9606978339704009,0.0020362451639177356,0.07388510959939532,3.893292635447651e-05,0.9243681629573746,0.9606157313432974,0.9984799772968476,0.9979637548360822,0.9261148904006047,0.9999610670736455,0.9979637548360822
8,0.9989776611328125,0.9719018662193332,0.03798256537982565,0.018008474576271187,0.0007108894275592019,0.9453395880073424,0.9714344770365163,0.9996696797058984,0.9620174346201743,0.9819915254237288,0.9992891105724409,0.9620174346201743
9,0.9989776611328125,0.9722968782303081,0.0169314381270903,0.03824130879345603,0.00031486390882163153,0.9460873063769866,0.9718367183996696,0.9992733913584084,0.9830685618729097,0.961758691206544,0.9996851360911784,0.9830685618729097
10,0.9988288879394531,0.9680906350691196,0.012719949120203519,0.050367047308319736,0.0002332452184730213,0.9381547139403706,0.9676840635918861,0.9990405046867655,0.9872800508797965,0.9496329526916802,0.999766754781527,0.9872800508797965
